"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","755","TC03 - Invalid Password","chromium","2026-08-25","passed","2026-08-25","","tests\LoginTestCases.spec.js","",""
"","2510","TC03 - Invalid Password","firefox","2026-08-25","passed","2026-08-25","","tests\LoginTestCases.spec.js","",""
"","2168","TC04 - Invalid Username and Password","firefox","2026-08-25","passed","2026-08-25","","tests\LoginTestCases.spec.js","",""
"","2398","Logout Test Case","chromium","2026-08-25","passed","2026-08-25","","tests\logout.spec.js","",""
"","6224","Verify Home Products Page","webkit","2026-08-25","passed","2026-08-25","","tests\HomePage.spec.js","",""
"","1006","TC05 - Empty Username and Password","chromium","2026-08-25","passed","2026-08-25","","tests\LoginTestCases.spec.js","",""
"","1699","Login Test Case using Valid User","firefox","2026-08-24","passed","2026-08-24","","tests\login.spec.js","",""
"","1584","Login Test Case using Invalid Credentials","webkit","2026-08-24","passed","2026-08-24","","tests\login.spec.js","",""
"","1529","TC03 - Invalid Password","webkit","2026-08-25","passed","2026-08-25","","tests\LoginTestCases.spec.js","",""
"","3489","Smoke Test - Complete End to End Flow","chromium","2026-08-25","passed","2026-08-25","","SmokeTest\smoketest.spec.js","",""
"","6659","Add Two Products to Cart","webkit","2026-08-25","passed","2026-08-25","","tests\AddtoCart.spec.js","",""
"","1205","TC04 - Invalid Username and Password","webkit","2026-08-25","passed","2026-08-25","","tests\LoginTestCases.spec.js","",""
"","3966","Login Test Case with valid user","webkit","2026-08-25","passed","2026-08-25","Login","tests\login.spec.js","",""
"","1134","TC02 - Invalid Username","webkit","2026-08-25","passed","2026-08-25","","tests\LoginTestCases.spec.js","",""
"","7863","Verify Home Products Page","firefox","2026-08-25","passed","2026-08-25","","tests\HomePage.spec.js","",""
"","9922","Complete Product Checkout","firefox","2026-08-25","passed","2026-08-25","","tests\Checkout.spec.js","",""
"","1524","Login Test Case using Valid User","webkit","2026-08-24","passed","2026-08-24","","tests\login.spec.js","",""
"","3041","Logout Test Case","firefox","2026-08-25","passed","2026-08-25","","tests\logout.spec.js","",""
"","1399","Login Test Case using Invalid Credentials","firefox","2026-08-24","passed","2026-08-24","","tests\login.spec.js","",""
"","10015","Smoke Test - Complete End to End Flow","firefox","2026-08-25","passed","2026-08-25","","SmokeTest\smoketest.spec.js","",""
"","2723","Login Test Case with valid user","chromium","2026-08-27","passed","2026-08-27","Login","tests\login.spec.js","",""
"","1028","Login Test Case using Locked Out User","chromium","2026-08-24","passed","2026-08-24","","tests\login.spec.js","",""
"","2679","Add Two Products to Cart","chromium","2026-08-25","passed","2026-08-25","","tests\AddtoCart.spec.js","",""
"","2294","get started link","webkit","2026-08-25","passed","2026-08-25","","tests\example.spec.js","",""
"","8009","Add Two Products to Cart","firefox","2026-08-25","passed","2026-08-25","","tests\AddtoCart.spec.js","",""
"","7578","get started link","firefox","2026-08-25","passed","2026-08-25","","tests\example.spec.js","",""
"","762","TC02 - Invalid Username","chromium","2026-08-25","passed","2026-08-25","","tests\LoginTestCases.spec.js","",""
"","1485","Login Test Case using Locked Out User","webkit","2026-08-24","passed","2026-08-24","","tests\login.spec.js","",""
"","1839","TC05 - Empty Username and Password","firefox","2026-08-25","passed","2026-08-25","","tests\LoginTestCases.spec.js","",""
"","7210","Login Test Case with valid user","firefox","2026-08-25","passed","2026-08-25","Login","tests\login.spec.js","",""
"","3716","has title","firefox","2026-08-25","passed","2026-08-25","","tests\example.spec.js","",""
"","2831","has title","chromium","2026-08-25","passed","2026-08-25","","tests\example.spec.js","",""
"","7278","Complete Product Checkout","webkit","2026-08-25","passed","2026-08-25","","tests\Checkout.spec.js","",""
"","1081","TC04 - Invalid Username and Password","chromium","2026-08-25","passed","2026-08-25","","tests\LoginTestCases.spec.js","",""
"","1890","TC02 - Invalid Username","firefox","2026-08-25","passed","2026-08-25","","tests\LoginTestCases.spec.js","",""
"","2583","Complete Product Checkout","chromium","2026-08-25","passed","2026-08-25","","tests\Checkout.spec.js","",""
"","2182","Verify Home Products Page","chromium","2026-08-25","passed","2026-08-25","","tests\HomePage.spec.js","",""
"","2223","TC01 - Valid Login","firefox","2026-08-25","passed","2026-08-25","","tests\LoginTestCases.spec.js","",""
"","1384","TC05 - Empty Username and Password","webkit","2026-08-25","passed","2026-08-25","","tests\LoginTestCases.spec.js","",""
"","1354","Login Test Case using Invalid Credentials","chromium","2026-08-24","passed","2026-08-24","","tests\login.spec.js","",""
"","3059","Logout Test Case","webkit","2026-08-25","passed","2026-08-25","","tests\logout.spec.js","",""
"","1373","TC01 - Valid Login","webkit","2026-08-25","passed","2026-08-25","","tests\LoginTestCases.spec.js","",""
"","8816","Smoke Test - Complete End to End Flow","webkit","2026-08-25","passed","2026-08-25","","SmokeTest\smoketest.spec.js","",""
"","1027","Login Test Case using Valid User","chromium","2026-08-24","passed","2026-08-24","","tests\login.spec.js","",""
"","1238","has title","webkit","2026-08-25","passed","2026-08-25","","tests\example.spec.js","",""
"","1983","Login Test Case using Locked Out User","firefox","2026-08-24","passed","2026-08-24","","tests\login.spec.js","",""
"","3641","get started link","chromium","2026-08-25","passed","2026-08-25","","tests\example.spec.js","",""
"","837","TC01 - Valid Login","chromium","2026-08-25","passed","2026-08-25","","tests\LoginTestCases.spec.js","",""
